Name,Description,HazmatClass
UN1062,Methyl bromide,2.3
UN1063,"Methyl chloride, or Refrigerant gas R 40",2.1
UN1064,Methyl mercaptan,2.3
UN1065,"Neon, compressed",2.2
UN1066,"Nitrogen, compressed",2.2
UN1067,Dinitrogen tetroxide,2.3
UN1069,Nitrosyl chloride,2.3
UN1070,Nitrous oxide,2.2
UN1071,"Oil gas, compressed",2.3
UN1072,"Oxygen, compressed",2.2
UN1073,"Oxygen, refrigerated liquid (cryogenic liquid)",2.2
UN1075,"Petroleum gases, liquefied or Liquefied petroleum gas",2.1
UN1076,Phosgene,2.3
UN1077,"Propylene see also Petroleum gases, liquefied",2.1
UN1078,"Refrigerant gases, n.o.s.",2.2
UN1079,Sulfur dioxide,2.3
UN1080,Sulfur hexafluoride,2.2
UN1081,"Tetrafluoroethylene, stabilized",2.1
UN1082,"Trifluorochloroethylene, stabilized",2.3
UN1083,"Trimethylamine, anhydrous",2.1
UN1085,"Vinyl bromide, stabilized",2.1
UN1086,"Vinyl chloride, stabilized  ",2.1
UN1087,"Vinyl methyl ether, stabilized",2.1
UN1088,Acetal,3
UN1089,Acetaldehyde,3
UN1090,Acetone,3
UN1091,Acetone oils,3
UN1092,"Acrolein, stabilized",6.1
UN1093,"Acrylonitrile, stabilized",3
UN1098,Allyl alcohol,6.1
UN1099,Allyl bromide,3
UN1100,Allyl chloride,3
UN1104,Amyl acetates,3
UN1105,Pentanols,3
UN1105,Pentanols,3
UN1106,Amylamines,3
UN1106,Amylamines,3
UN1107,Amyl chlorides,3
UN1108,1-Pentene (n-amylene),3
UN1109,Amyl formates,3
UN1110,n-Amyl methyl ketone,3
UN1111,Amyl mercaptans,3
UN1112,Amyl nitrate,3
UN1113,Amyl nitrites,3
UN1114,Benzene,3
UN1120,Butanols,3
UN1120,Butanols,3
UN1123,Butyl acetates,3
UN1123,Butyl acetates,3
UN1125,n-Butylamine,3
UN1126,1-Bromobutane,3
UN1127,Chlorobutanes,3
UN1128,n-Butyl formate,3
UN1129,Butyraldehyde,3
UN1130,Camphor oil,3
UN1131,Carbon disulfide,3
UN1133,"Adhesives, containing a flammable liquid",3
UN1133,"Adhesives, containing a flammable liquid",3
UN1133,"Adhesives, containing a flammable liquid",3
UN1134,Chlorobenzene,3
UN1135,Ethylene chlorohydrin,6.1
UN1136,"Coal tar distillates, flammable",3
UN1136,"Coal tar distillates, flammable",3
UN1139,"Coating solution (includes surface treatments or coatings used for industrial or other purposes such as vehicle undercoating, drum or barrel lining)",3
UN1139,"Coating solution (includes surface treatments or coatings used for industrial or other purposes such as vehicle undercoating, drum or barrel lining)",3
UN1139,"Coating solution (includes surface treatments or coatings used for industrial or other purposes such as vehicle undercoating, drum or barrel lining)",3
UN1143,"Crotonaldehyde or Crotonaldehyde, stabilized",6.1
UN1144,Crotonylene,3
UN1145,Cyclohexane,3
UN1146,Cyclopentane,3
UN1147,Decahydronaphthalene,3
UN1148,Diacetone alcohol,3
UN1148,Diacetone alcohol,3
UN1149,Dibutyl ethers,3
UN1150,"1,2-Dichloroethylene",3
UN1152,Dichloropentanes,3
UN1153,Ethylene glycol diethyl ether,3
UN1153,Ethylene glycol diethyl ether,3
UN1154,Diethylamine,3
UN1155,Diethyl ether or Ethyl ether,3
UN1156,Diethyl ketone,3
UN1157,Diisobutyl ketone,3
UN1158,Diisopropylamine,3
UN1159,Diisopropyl ether,3
UN1160,Dimethylamine solution,3
UN1161,Dimethyl carbonate,3
UN1162,Dimethyldichlorosilane,3
UN1163,"Dimethylhydrazine, unsymmetrical",6.1
UN1164,Dimethyl sulfide,3
UN1165,Dioxane,3
UN1166,Dioxolane,3
UN1167,"Divinyl ether, stabilized",3
UN1169,"Extracts, aromatic, liquid",3
UN1169,"Extracts, aromatic, liquid",3
UN1170,Ethanol or Ethyl alcohol or Ethanol solutions or Ethyl alcohol solutions,3
UN1170,Ethanol or Ethyl alcohol or Ethanol solutions or Ethyl alcohol solutions,3
UN1171,Ethylene glycol monoethyl ether,3
UN1172,Ethylene glycol monoethyl ether acetate,3
UN1173,Ethyl acetate,3
UN1175,Ethylbenzene,3
UN1176,Ethyl borate,3
UN1177,2-Ethylbutyl acetate,3
UN1178,2-Ethylbutyraldehyde,3
UN1179,Ethyl butyl ether,3
UN1180,Ethyl butyrate,3
UN1181,Ethyl chloroacetate,6.1
UN1182,Ethyl chloroformate,6.1
UN1183,Ethyldichlorosilane,4.3
UN1184,Ethylene dichloride,3
UN1185,"Ethyleneimine, stabilized",6.1
UN1188,Ethylene glycol monomethyl ether,3
UN1189,Ethylene glycol monomethyl ether acetate,3
UN1190,Ethyl formate,3
UN1191,Octyl aldehydes,3
UN1192,Ethyl lactate,3
UN1193,Ethyl methyl ketone or Methyl ethyl ketone,3
UN1194,Ethyl nitrite solutions,3
UN1195,Ethyl propionate,3
UN1196,Ethyltrichlorosilane,3
UN1197,"Extracts, flavoring, liquid",3
UN1197,"Extracts, flavoring, liquid",3
UN1198,"Formaldehyde, solutions, flammable",3
UN1199,Furaldehydes,6.1
UN1201,Fusel oil,3
UN1201,Fusel oil,3
UN1202,Diesel fuel,3
UN1202,Gas oil,3
UN1202,"Heating oil, light",3
UN1203,"Gasoline includes gasoline mixed with ethyl alcohol, with not more than 10% alcohol",3
UN1204,Nitroglycerin solution in alcohol with not more than 1 percent nitroglycerin,3
UN1206,Heptanes,3
UN1207,Hexaldehyde,3
UN1208,Hexanes,3
UN1210,"Printing ink, flammable or Printing ink related material (including printing ink thinning or reducing compound), flammable",3
UN1210,"Printing ink, flammable or Printing ink related material (including printing ink thinning or reducing compound), flammable",3
UN1210,"Printing ink, flammable or Printing ink related material (including printing ink thinning or reducing compound), flammable",3
UN1212,Isobutanol or Isobutyl alcohol,3
UN1213,Isobutyl acetate,3
UN1214,Isobutylamine,3
UN1216,Isooctenes,3
UN1218,"Isoprene, stabilized",3
UN1219,Isopropanol or Isopropyl alcohol,3
UN1220,Isopropyl acetate,3
UN1221,Isopropylamine,3
UN1222,Isopropyl nitrate,3
UN1223,Kerosene,3
UN1224,"Ketones, liquid, n.o.s.",3
UN1224,"Ketones, liquid, n.o.s.",3
UN1224,"Ketones, liquid, n.o.s.",3
UN1228,"Mercaptans, liquid, flammable, toxic, n.o.s. or Mercaptan mixtures, liquid, flammable, toxic, n.o.s.",3
UN1228,"Mercaptans, liquid, flammable, toxic, n.o.s. or Mercaptan mixtures, liquid, flammable, toxic, n.o.s.",3
UN1229,Mesityl oxide,3
UN1230,Methanol,3
UN1230,Methanol,3
UN1231,Methyl acetate,3
UN1233,Methylamyl acetate,3
UN1234,Methylal,3
UN1235,"Methylamine, aqueous solution",3
UN1237,Methyl butyrate,3
UN1238,Methyl chloroformate,6.1
UN1239,Methyl chloromethyl ether,6.1
UN1242,Methyldichlorosilane,4.3
UN1243,Methyl formate,3
UN1244,Methylhydrazine,6.1
UN1245,Methyl isobutyl ketone,3
UN1246,"Methyl isopropenyl ketone, stabilized",3
UN1247,"Methyl methacrylate monomer, stabilized",3
UN1248,Methyl propionate,3
UN1249,Methyl propyl ketone,3
UN1250,Methyltrichlorosilane,3
UN1251,"Methyl vinyl ketone, stabilized",6.1
UN1259,Nickel carbonyl,6.1
UN1261,Nitromethane,3
UN1262,Octanes,3
UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",3
UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",3
UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",3
UN1263,"Paint related material including paint thinning, drying, removing, or reducing compound",3
UN1263,"Paint related material including paint thinning, drying, removing, or reducing compound",3
UN1263,"Paint related material including paint thinning, drying, removing, or reducing compound",3
UN1264,Paraldehyde,3
UN1265,Pentanes,3
UN1265,Pentanes,3
UN1266,Perfumery products with flammable solvents,3
UN1266,Perfumery products with flammable solvents,3
UN1267,Petroleum crude oil,3
UN1267,Petroleum crude oil,3
UN1267,Petroleum crude oil,3
UN1268,"Petroleum distillates, n.o.s. or Petroleum products, n.o.s.",3
UN1268,"Petroleum distillates, n.o.s. or Petroleum products, n.o.s.",3
UN1268,"Petroleum distillates, n.o.s. or Petroleum products, n.o.s.",3
UN1272,Pine oil,3
UN1274,"n-Propanol or Propyl alcohol, normal",3
UN1274,"n-Propanol or Propyl alcohol, normal",3
UN1275,Propionaldehyde,3
UN1276,n-Propyl acetate,3
UN1277,Propylamine,3
UN1278,1-Chloropropane,3
UN1279,"1,2-Dichloropropane",3
UN1280,Propylene oxide,3
UN1281,Propyl formates,3
UN1282,Pyridine,3
UN1286,Rosin oil,3
UN1286,Rosin oil,3
UN1287,Rubber solution,3
UN1287,Rubber solution,3
UN1288,Shale oil,3
UN1288,Shale oil,3
UN1288,Shale oil,3
UN1289,Sodium methylate solutions in alcohol,3
UN1289,Sodium methylate solutions in alcohol,3
UN1292,Tetraethyl silicate,3
UN1293,"Tinctures, medicinal",3
UN1293,"Tinctures, medicinal",3
UN1294,Toluene,3
UN1295,Trichlorosilane,4.3
UN1296,Triethylamine,3
UN1297,"Trimethylamine, aqueous solutions with not more than 50 percent trimethylamine by mass",3
UN1297,"Trimethylamine, aqueous solutions with not more than 50 percent trimethylamine by mass",3
UN1297,"Trimethylamine, aqueous solutions with not more than 50 percent trimethylamine by mass",3
UN1298,Trimethylchlorosilane,3
UN1299,Turpentine,3
UN1300,Turpentine substitute,3
UN1300,Turpentine substitute,3
UN1300,Turpentine substitute,3
UN1301,"Vinyl acetate, stabilized",3
UN1302,"Vinyl ethyl ether, stabilized",3
UN1303,"Vinylidene chloride, stabilized",3
UN1304,"Vinyl isobutyl ether, stabilized",3
UN1305,"Vinyltrichlorosilane, stabilized",3
UN1306,"Wood preservatives, liquid",3
UN1306,"Wood preservatives, liquid",3
UN1307,Xylenes,3
UN1307,Xylenes,3
UN1308,Zirconium suspended in a liquid,3
UN1308,Zirconium suspended in a liquid,3
UN1308,Zirconium suspended in a liquid,3
UN1309,"Aluminum powder, coated",4.1
UN1309,"Aluminum powder, coated",4.1
UN1310,"Ammonium picrate, wetted with not less than 10 percent water, by mass",4.1
UN1312,Borneol,4.1
UN1313,Calcium resinate,4.1
UN1314,"Calcium resinate, fused",4.1
UN1318,"Cobalt resinate, precipitated",4.1
UN1320,"Dinitrophenol, wetted with not less than 15 percent water, by mass",4.1
UN1321,"Dinitrophenolates, wetted with not less than 15 percent water, by mass",4.1
UN1322,"Dinitroresorcinol, wetted with not less than 15 percent water, by mass",4.1
UN1323,Ferrocerium,4.1
UN1324,"Films, nitrocellulose base, gelatine coated (except scrap)",4.1
UN1325,"Flammable solids, organic, n.o.s.",4.1
UN1325,"Flammable solids, organic, n.o.s.",4.1
UN1326,"Hafnium powder, wetted with not less than 25 percent water (a visible excess of water must be present) (a) mechanically produced, particle size less than 53 microns; (b) chemically produced, particle size less than 840 microns",4.1
UN1328,Hexamethylenetetramine,4.1
UN1330,Manganese resinate,4.1
UN1331,"Matches, strike anywhere",4.1
UN1332,Metaldehyde,4.1
UN1333,"Cerium, slabs, ingots, or rods",4.1
UN1334,"Naphthalene, crude or Naphthalene, refined",4.1
UN1336,"Nitroguanidine, wetted or Picrite, wetted with not less than 20 percent water, by mass",4.1
UN1337,"Nitrostarch, wetted with not less than 20 percent water, by mass",4.1
UN1338,"Phosphorus, amorphous",4.1
UN1339,"Phosphorus heptasulfide, free from yellow or white phosphorus",4.1
UN1340,"Phosphorus pentasulfide, free from yellow or white phosphorus",4.3
UN1341,"Phosphorus sesquisulfide, free from yellow or white phosphorus",4.1
UN1343,"Phosphorus trisulfide, free from yellow or white phosphorus",4.1
UN1344,"Trinitrophenol, wetted or Picric acid, with not less than 30 percent water, by mass",4.1
UN1345,"Rubber scrap or Rubber shoddy, powdered or granulated, not exceeding 840 microns and rubber content exceeding 45%.",4.1
UN1346,"Silicon powder, amorphous",4.1
UN1347,"Silver picrate, wetted with not less than 30 percent water, by mass",4.1
UN1348,"Sodium dinitro-o-cresolate, wetted with not less than 15 percent water, by mass",4.1
UN1349,"Sodium picramate, wetted with not less than 20 percent water, by mass",4.1
UN1350,Sulfur,4.1
UN1352,"Titanium powder, wetted with not less than 25 percent water (a visible excess of water must be present) (a) mechanically produced, particle size less than 53 microns; (b) chemically produced, particle size less than 840 microns",4.1
UN1353,"Fibers or Fabrics impregnated with weakly nitrated nitrocellulose, n.o.s.",4.1
UN1354,"Trinitrobenzene, wetted with not less than 30 percent water, by mass",4.1
UN1355,"Trinitrobenzoic acid, wetted with not less than 30 percent water, by mass",4.1
UN1356,"Trinitrotoluene, wetted or TNT, wetted with not less than 30 percent water, by mass",4.1
UN1357,"Urea nitrate, wetted with not less than 20 percent water, by mass",4.1
UN1358,"Zirconium powder, wetted with not less than 25 percent water (a visible excess of water must be present) (a) mechanically produced, particle size less than 53 microns; (b) chemically produced, particle size less than 840 microns",4.1
UN1360,Calcium phosphide,4.3
UN1361,"Carbon, animal or vegetable origin",4.2
UN1361,"Carbon, animal or vegetable origin",4.2
UN1362,"Carbon, activated",4.2
UN1363,Copra,4.2
UN1364,"Cotton waste, oily",4.2
UN1365,"Cotton, wet",4.2
UN1369,p-Nitrosodimethylaniline,4.2
UN1372,"Fibers, animal or Fibers, vegetable burnt, wet or damp.",4.2
UN1373,"Fibers or Fabrics, animal or vegetable or Synthetic, n.o.s. with animal or vegetable oil",4.2
UN1374,"Fish meal, unstablized or Fish scrap, unstabilized",4.2
UN1376,"Iron oxide, spent, or Iron sponge, spent obtained from coal gas purification",4.2
UN1378,"Metal catalyst, wetted with a visible excess of liquid",4.2
UN1379,"Paper, unsaturated oil treated incompletely dried (including carbon paper)",4.2
UN1380,Pentaborane,4.2
UN1381,"Phosphorus, white dry or Phosphorus, white, under water or Phosphorus white, in solution or Phosphorus, yellow dry or Phosphorus, yellow, under water or Phosphorus, yellow, in solution",4.2
UN1382,"Potassium sulfide, anhydrous or Potassium sulfide with less than 30 percent water of crystallization",4.2
UN1383,"Pyrophoric metals, n.o.s., or Pyrophoric alloys, n.o.s.",4.2
UN1384,Sodium dithionite or Sodium hydrosulfite,4.2
UN1385,"Sodium sulfide, anhydrous or Sodium sulfide with less than 30 percent water of crystallization",4.2
UN1386,Seed cake with more than 1.5 percent oil and not more than 11 percent moisture,4.2
UN1386,"Seed cake, containing vegetable oil solvent extractions and expelled seeds, with not more than 10 percent of oil and when the amount of moisture is higher than 11 percent, with not more than 20 percent of oil and moisture combined",4.2
UN1387,"Wool waste, wet",4.2
UN1389,"Alkali metal amalgam, liquid",4.3
UN1389,"Alkali metal amalgam, solid",4.3
UN1390,Alkali metal amides,4.3
UN1391,"Alkali metal dispersions, or Alkaline earth metal dispersions",4.3
UN1392,"Alkaline earth metal amalgams, liquid",4.3
UN1393,"Alkaline earth metal alloys, n.o.s.",4.3
UN1394,Aluminum carbide,4.3
UN1395,Aluminum ferrosilicon powder,4.3
UN1395,Aluminum ferrosilicon powder,4.3
UN1396,"Aluminum powder, uncoated",4.3
UN1396,"Aluminum powder, uncoated",4.3
UN1397,Aluminum phosphide,4.3
UN1398,"Aluminum silicon powder, uncoated",4.3
UN1400,Barium,4.3
UN1401,Calcium,4.3
UN1402,Calcium carbide,4.3
UN1402,Calcium carbide,4.3
UN1403,Calcium cyanamide with more than 0.1 percent of calcium carbide,4.3
UN1404,Calcium hydride,4.3
UN1405,Calcium silicide,4.3
UN1405,Calcium silicide,4.3
UN1407,Cesium or Caesium,4.3
UN1408,"Ferrosilicon, with 30 percent or more but less than 90 percent silicon",4.3
UN1409,"Metal hydrides, water reactive, n.o.s.",4.3
UN1409,"Metal hydrides, water reactive, n.o.s.",4.3
UN1410,Lithium aluminum hydride,4.3
UN1411,"Lithium aluminum hydride, ethereal",4.3
UN1413,Lithium borohydride,4.3
UN1414,Lithium hydride,4.3
UN1415,Lithium,4.3
UN1417,Lithium silicon,4.3
UN1418,"Magnesium, powder or Magnesium alloys, powder",4.3
UN1418,"Magnesium, powder or Magnesium alloys, powder",4.3
UN1418,"Magnesium, powder or Magnesium alloys, powder",4.3
UN1419,Magnesium aluminum phosphide,4.3
UN1420,"Potassium, metal alloys, liquid",4.3
UN1421,"Alkali metal alloys, liquid, n.o.s.",4.3
UN1422,"Potassium sodium alloys, liquid",4.3
UN1423,Rubidium,4.3
UN1426,Sodium borohydride,4.3
UN1427,Sodium hydride,4.3
UN1428,Sodium,4.3
UN1431,Sodium methylate,4.2
UN1432,Sodium phosphide,4.3
UN1433,Stannic phosphide,4.3
UN1435,Zinc ashes,4.3
UN1436,Zinc powder or Zinc dust,4.3
UN1436,Zinc powder or Zinc dust,4.3
UN1436,Zinc powder or Zinc dust,4.3
UN1437,Zirconium hydride,4.1
UN1438,Aluminum nitrate,5.1
UN1439,Ammonium dichromate,5.1
UN1442,Ammonium perchlorate,5.1
UN1444,Ammonium persulfate,5.1
UN1445,"Barium chlorate, solid",5.1
UN1446,Barium nitrate,5.1
UN1447,"Barium perchlorate, solid",5.1
UN1448,Barium permanganate,5.1
UN1449,Barium peroxide,5.1
UN1450,"Bromates, inorganic, n.o.s.",5.1
UN1451,Cesium nitrate or Caesium nitrate,5.1
UN1452,Calcium chlorate,5.1
UN1453,Calcium chlorite,5.1
UN1454,Calcium nitrate,5.1
UN1455,Calcium perchlorate,5.1
UN1456,Calcium permanganate,5.1
UN1457,Calcium peroxide,5.1
UN1458,Chlorate and borate mixtures,5.1
UN1458,Chlorate and borate mixtures,5.1
UN1459,"Chlorate and magnesium chloride mixtures, solid",5.1
UN1461,"Chlorates, inorganic, aqueous solution, n.o.s. ",5.1
UN1461,"Chlorates, inorganic, n.o.s.",5.1
UN1462,"Chlorites, inorganic, n.o.s.",5.1
UN1463,"Chromium trioxide, anhydrous",5.1
UN1465,Didymium nitrate,5.1
UN1466,Ferric nitrate,5.1
UN1467,Guanidine nitrate,5.1
UN1469,Lead nitrate,5.1
UN1470,"Lead perchlorate, solid",5.1
UN1471,"Lithium hypochlorite, dry with more than 39% available chlorine (8.8% available oxygen) or Lithium hypochlorite mixtures, dry [with more than 39% available chlorine (8.8% available oxygen)",5.1
UN1472,Lithium peroxide,5.1
UN1473,Magnesium bromate,5.1
UN1474,Magnesium nitrate,5.1
UN1475,Magnesium perchlorate,5.1
UN1476,Magnesium peroxide,5.1
UN1477,"Nitrates, inorganic, n.o.s.",5.1
UN1477,"Nitrates, inorganic, n.o.s.",5.1
UN1479,"Oxidizing solid, n.o.s.",5.1
UN1479,"Oxidizing solid, n.o.s.",5.1
UN1479,"Oxidizing solid, n.o.s.",5.1
UN1481,"Perchlorates, inorganic, n.o.s.",5.1
UN1481,"Perchlorates, inorganic, n.o.s.",5.1
UN1482,"Permanganates, inorganic, n.o.s.",5.1
UN1482,"Permanganates, inorganic, n.o.s.",5.1
UN1483,"Peroxides, inorganic, n.o.s.",5.1
UN1483,"Peroxides, inorganic, n.o.s.",5.1
UN1484,Potassium bromate,5.1
UN1485,Potassium chlorate,5.1
UN1486,Potassium nitrate,5.1
UN1487,Potassium nitrate and sodium nitrite mixtures,5.1
UN1488,Potassium nitrite,5.1
UN1489,Potassium perchlorate,5.1
UN1490,Potassium permanganate,5.1
UN1491,Potassium peroxide,5.1
UN1492,Potassium persulfate,5.1
UN1493,Silver nitrate,5.1
UN1494,Sodium bromate,5.1
UN1495,Sodium chlorate,5.1
UN1496,Sodium chlorite,5.1
UN1498,Sodium nitrate,5.1
UN1499,Sodium nitrate and potassium nitrate mixtures,5.1
UN1500,Sodium nitrite,5.1
UN1502,Sodium perchlorate,5.1
UN1503,Sodium permanganate,5.1
UN1504,Sodium peroxide,5.1
UN1505,Sodium persulfate,5.1
UN1506,Strontium chlorate,5.1
UN1507,Strontium nitrate,5.1
UN1508,Strontium perchlorate,5.1
UN1509,Strontium peroxide,5.1
UN1510,Tetranitromethane,5.1
UN1511,Urea hydrogen peroxide,5.1
UN1512,Zinc ammonium nitrite,5.1
UN1513,Zinc chlorate,5.1
UN1514,Zinc nitrate,5.1
UN1515,Zinc permanganate,5.1
UN1516,Zinc peroxide,5.1
UN1517,"Zirconium picramate, wetted with not less than 20 percent water, by mass",4.1
UN1541,"Acetone cyanohydrin, stabilized",6.1
UN1544,"Alkaloids, solid, n.o.s. or Alkaloid salts, solid, n.o.s. poisonous",6.1
UN1544,"Alkaloids, solid, n.o.s. or Alkaloid salts, solid, n.o.s. poisonous",6.1
UN1544,"Alkaloids, solid, n.o.s. or Alkaloid salts, solid, n.o.s. poisonous",6.1
UN1545,"Allyl isothiocyanate, stabilized",6.1
UN1546,Ammonium arsenate,6.1
UN1547,Aniline,6.1
UN1548,Aniline hydrochloride,6.1
UN1549,"Antimony compounds, inorganic, solid, n.o.s.",6.1
UN1550,Antimony lactate,6.1
UN1551,Antimony potassium tartrate,6.1
UN1553,"Arsenic acid, liquid",6.1
UN1554,"Arsenic acid, solid",6.1
UN1555,Arsenic bromide,6.1
UN1556,"Arsenic compounds, liquid, n.o.s. inorganic, including arsenates, n.o.s.; arsenites, n.o.s.; arsenic sulfides, n.o.s.; and organic compounds of arsenic, n.o.s.",6.1
UN1556,"Arsenic compounds, liquid, n.o.s. inorganic, including arsenates, n.o.s.; arsenites, n.o.s.; arsenic sulfides, n.o.s.; and organic compounds of arsenic, n.o.s.",6.1
UN1556,"Arsenic compounds, liquid, n.o.s. inorganic, including arsenates, n.o.s.; arsenites, n.o.s.; arsenic sulfides, n.o.s.; and organic compounds of arsenic, n.o.s.",6.1
UN1557,"Arsenic compounds, solid, n.o.s. inorganic, including arsenates, n.o.s.; arsenites, n.o.s.; arsenic sulfides, n.o.s.; and organic compounds of arsenic, n.o.s.",6.1
UN1557,"Arsenic compounds, solid, n.o.s. inorganic, including arsenates, n.o.s.; arsenites, n.o.s.; arsenic sulfides, n.o.s.; and organic compounds of arsenic, n.o.s.",6.1
UN1557,"Arsenic compounds, solid, n.o.s. inorganic, including arsenates, n.o.s.; arsenites, n.o.s.; arsenic sulfides, n.o.s.; and organic compounds of arsenic, n.o.s.",6.1
UN1558,Arsenic,6.1
UN1559,Arsenic pentoxide,6.1
UN1560,Arsenic trichloride,6.1
UN1561,Arsenic trioxide,6.1
UN1562,Arsenical dust,6.1
UN1564,"Barium compounds, n.o.s.",6.1
UN1564,"Barium compounds, n.o.s.",6.1
UN1565,Barium cyanide,6.1
UN1566,"Beryllium compounds, n.o.s.",6.1
UN1566,"Beryllium compounds, n.o.s.",6.1
UN1567,"Beryllium, powder",6.1
UN1569,Bromoacetone,6.1
UN1570,Brucine,6.1
UN1571,"Barium azide, wetted with not less than 50 percent water, by mass",4.1
UN1572,Cacodylic acid,6.1
UN1573,Calcium arsenate,6.1
UN1574,"Calcium arsenate and calcium arsenite, mixtures, solid",6.1
UN1575,Calcium cyanide,6.1
UN1577,"Chlorodinitrobenzenes, liquid",6.1
UN1578,"Chloronitrobenzenes, solid",6.1
UN1579,"4-Chloro-o-toluidine hydrochloride, solid",6.1
UN1580,Chloropicrin,6.1
UN1581,Chloropicrin and methyl bromide mixtures,2.3
UN1582,Chloropicrin and methyl chloride mixtures,2.3
UN1583,"Chloropicrin mixtures, n.o.s.",6.1
UN1583,"Chloropicrin mixtures, n.o.s.",6.1
UN1583,"Chloropicrin mixtures, n.o.s.",6.1
UN1585,Copper acetoarsenite,6.1
UN1586,Copper arsenite,6.1
UN1587,Copper cyanide,6.1
UN1588,"Cyanides, inorganic, solid, n.o.s.",6.1
UN1588,"Cyanides, inorganic, solid, n.o.s.",6.1
UN1588,"Cyanides, inorganic, solid, n.o.s.",6.1
UN1589,"Cyanogen chloride, stabilized",2.3
UN1590,"Dichloroanilines, liquid",6.1
UN1591,o-Dichlorobenzene,6.1
UN1593,Dichloromethane,6.1
UN1594,Diethyl sulfate,6.1
UN1595,Dimethyl sulfate,6.1
UN1596,Dinitroanilines,6.1
UN1597,"Dinitrobenzenes, liquid",6.1
UN1598,Dinitro-o-cresol,6.1
UN1599,Dinitrophenol solutions,6.1
UN1599,Dinitrophenol solutions,6.1
UN1600,"Dinitrotoluenes, molten",6.1
UN1601,"Disinfectants, solid, toxic, n.o.s.",6.1
UN1601,"Disinfectants, solid, toxic, n.o.s.",6.1
UN1601,"Disinfectants, solid, toxic, n.o.s.",6.1
UN1602,"Dyes, liquid, toxic, n.o.s. or Dye intermediates, liquid, toxic, n.o.s.",6.1
UN1602,"Dyes, liquid, toxic, n.o.s. or Dye intermediates, liquid, toxic, n.o.s.",6.1
UN1602,"Dyes, liquid, toxic, n.o.s. or Dye intermediates, liquid, toxic, n.o.s.",6.1
UN1603,Ethyl bromoacetate,6.1
UN1604,Ethylenediamine,8
UN1605,Ethylene dibromide,6.1
UN1606,Ferric arsenate,6.1
UN1607,Ferric arsenite,6.1
UN1608,Ferrous arsenate,6.1
UN1611,"Hexaethyl tetraphosphate, liquid",6.1
UN1611,"Hexaethyl tetraphosphate, solid",6.1
UN1612,Hexaethyl tetraphosphate and compressed gas mixtures,2.3
UN1613,"Hydrocyanic acid, aqueous solutions or Hydrogen cyanide, aqueous solutions with not more than 20 percent hydrogen cyanide",6.1
UN1614,"Hydrogen cyanide, stabilized, with less than 3 percent water and absorbed in a porous inert material",6.1
UN1616,Lead acetate,6.1
UN1617,Lead arsenates,6.1
UN1618,Lead arsenites,6.1
UN1620,Lead cyanide,6.1
UN1621,London purple,6.1
UN1622,Magnesium arsenate,6.1
UN1623,Mercuric arsenate,6.1
UN1624,Mercuric chloride,6.1
UN1625,Mercuric nitrate,6.1
UN1626,Mercuric potassium cyanide,6.1
UN1627,Mercurous nitrate,6.1
UN1629,Mercury acetate,6.1
UN1630,Mercury ammonium chloride,6.1
UN1631,Mercury benzoate,6.1
UN1634,Mercury bromides,6.1
UN1636,Mercury cyanide,6.1
UN1637,Mercury gluconate,6.1
UN1638,Mercury iodide,6.1
UN1639,Mercury nucleate,6.1
UN1640,Mercury oleate,6.1
UN1641,Mercury oxide,6.1
UN1642,"Mercury oxycyanide, desensitized",6.1
UN1643,Mercury potassium iodide,6.1
UN1644,Mercury salicylate,6.1
UN1645,Mercury sulfates,6.1
UN1646,Mercury thiocyanate,6.1
UN1647,"Methyl bromide and ethylene dibromide mixtures, liquid",6.1
UN1648,Acetonitrile,3
UN1649,Motor fuel anti-knock mixtures,6.1
UN1650,"beta-Naphthylamine, solid",6.1
UN1651,Naphthylthiourea,6.1
UN1652,Naphthylurea,6.1
UN1653,Nickel cyanide,6.1
UN1654,Nicotine,6.1
UN1655,"Nicotine compounds, solid, n.o.s. or Nicotine preparations, solid, n.o.s.",6.1
UN1655,"Nicotine compounds, solid, n.o.s. or Nicotine preparations, solid, n.o.s.",6.1
UN1655,"Nicotine compounds, solid, n.o.s. or Nicotine preparations, solid, n.o.s.",6.1
UN1656,Nicotine hydrochloride or Nicotine hydrochloride solution,6.1
UN1656,Nicotine hydrochloride or Nicotine hydrochloride solution,6.1
UN1657,Nicotine salicylate,6.1
UN1658,Nicotine sulfate solution,6.1
UN1658,Nicotine sulfate solution,6.1
UN1659,Nicotine tartrate,6.1
UN1660,"Nitric oxide, compressed",2.3
UN1661,Nitroanilines (o-; m-; p-;),6.1
UN1662,Nitrobenzene,6.1
UN1663,Nitrophenols (o-; m-; p-;),6.1
UN1664,"Nitrotoluenes, liquid ",6.1
UN1665,"Nitroxylenes, liquid ",6.1
UN1669,Pentachloroethane,6.1
UN1670,Perchloromethyl mercaptan,6.1
UN1671,"Phenol, solid",6.1
UN1672,Phenylcarbylamine chloride,6.1
UN1673,"Phenylenediamines (o-, m-, p-)",6.1
UN1674,Phenylmercuric acetate,6.1
UN1677,Potassium arsenate,6.1
UN1678,Potassium arsenite,6.1
